X;time;peak;backend
[1, 64, 32, 1];0.0015678497729822993;0.31847560484836196;mlir
[1, 64, 32, 1];0.0015692734450567514;0.3181866782585155;tvm
[1, 64, 32, 4];0.0015674046298954636;0.3185660519550759;jir
[1, 64, 32, 4];0.0015672632434871048;0.3185947905285722;mlir
[1, 64, 32, 4];0.0015628635883331299;0.319491674442589;tvm
[1, 64, 64, 1];0.0015682450612075627;0.3183953306235331;jir
[1, 64, 64, 1];0.0015692392189521343;0.318193618112176;mlir
[1, 64, 64, 1];0.0015737609646748751;0.31727938103043507;tvm
[1, 64, 64, 4];0.0015683919482398778;0.3183655114541151;jir
[1, 64, 64, 4];0.0015684188692830503;0.3183600468860419;mlir
[1, 64, 64, 4];0.0015679322532378137;0.31845885160586135;tvm
[1, 64, 128, 1];0.0016004344215616584;0.31199148058480314;jir
[1, 64, 128, 1];0.0015887076733633876;0.31429438727693115;mlir
[1, 64, 128, 1];0.0016067973629105836;0.310755989702039;tvm
[1, 64, 128, 4];0.001600000454345718;0.3120761018571651;jir
[1, 64, 128, 4];0.0015895273827482015;0.3141323076162462;mlir
[1, 64, 128, 4];0.0016022873460315168;0.3116306859681604;tvm
[1, 64, 256, 1];0.0015812609635759145;0.3157745092452811;jir
[1, 64, 256, 1];0.0016179723024833947;0.3086096739700087;mlir
[1, 64, 256, 1];0.0015822665009181947;0.31557383315146126;tvm
[1, 64, 256, 4];0.0015814005746506155;0.3157466316668196;jir
[1, 64, 256, 4];0.0016227738233283162;0.30769654870189694;mlir
[1, 64, 256, 4];0.0016286637401208282;0.3065837916455737;tvm
[1, 128, 1, 1];0.0014810436696279794;0.3371419189059621;jir
[1, 128, 1, 1];0.0014866644196445122;0.33586725972852804;mlir
[1, 128, 1, 1];0.0014792343717999756;0.33755428773218354;tvm
[1, 128, 1, 4];0.001481107552535832;0.3371273773515005;jir
[1, 128, 1, 4];0.0014869449514662847;0.33580389392998083;mlir
[1, 128, 1, 4];0.0014781868958380073;0.3377934861740412;tvm
[1, 128, 2, 1];0.0014811133441980928;0.33712605906757837;jir
[1, 128, 2, 1];0.0014826406695647165;0.3367787725049381;mlir
[1, 128, 2, 1];0.0014768870314583182;0.3380907910531659;tvm
[1, 128, 2, 4];0.0014813534799031913;0.33707140904312466;jir
[1, 128, 2, 4];0.0014815924660069868;0.3370170382329348;mlir
[1, 128, 2, 4];0.0014769924455322325;0.3380666612563307;tvm
[1, 128, 4, 1];0.0014815318427281454;0.3370308287417135;jir
[1, 128, 4, 1];0.0014836340269539505;0.33655328449635435;mlir
[1, 128, 4, 1];0.0014776447060285136;0.3379174321978517;tvm
[1, 128, 4, 4];0.0014815940812695771;0.3370166708104261;jir
[1, 128, 4, 4];0.0014833946916041896;0.3366075850129424;mlir
[1, 128, 4, 4];0.0014776150637771934;0.3379242111172714;tvm
[1, 128, 8, 1];0.0014813618327025324;0.33706950843398165;jir
[1, 128, 8, 1];0.0014850063162157312;0.33624227675632784;mlir
[1, 128, 8, 1];0.0014869071310386062;0.33581243531539723;tvm
[1, 128, 8, 4];0.0014808301348239183;0.33719053456545023;jir
[1, 128, 8, 4];0.0014822684897808358;0.3368633336027626;mlir
[1, 128, 8, 4];0.0014873326872475445;0.3357163525303469;tvm
[1, 128, 16, 1];0.0014787822146899998;0.33765749939491846;jir
[1, 128, 16, 1];0.0014796847535762936;0.3374515440231975;mlir
[1, 128, 16, 1];0.001477108380640857;0.3380401271200353;tvm
[1, 128, 16, 4];0.0014787747786613181;0.33765919730787064;jir
[1, 128, 16, 4];0.0014793146983720362;0.33753595858366114;mlir
[1, 128, 16, 4];0.0014811947621637955;0.3371075280015661;tvm
[1, 128, 32, 1];0.0014756317250430584;0.3383784017975994;jir
[1, 128, 32, 1];0.0014828385465079919;0.3367338311630636;mlir
[1, 128, 32, 1];0.0014773915318073705;0.3379753396522167;tvm
[1, 128, 32, 4];0.0014760400808881968;0.3382847872677287;jir
[1, 128, 32, 4];0.0014821901568211615;0.33688113665037117;mlir
[1, 128, 32, 4];0.0014754610747331753;0.33841753829541243;tvm
[1, 128, 64, 1];0.0014749732508789748;0.3385294644932346;jir
[1, 128, 64, 1];0.0014884331467328593;0.3354681437039523;mlir
[1, 128, 64, 1];0.0014838272763881832;0.33650945275606153;tvm
[1, 128, 64, 4];0.0014753113791812211;0.3384518765381055;jir
[1, 128, 64, 4];0.0014750544214621186;0.3385108355981617;mlir
[1, 128, 64, 4];0.001491323535447009;0.3348179606192818;tvm
