X;time;peak
[2 2 2 3];0.037112;0.0134544596023363
[64  8  8  4];0.0232229;0.021501272655951875
[256   1   1   5];0.125812;0.003968793952579283
[64 16  4  1];0.00289989;0.1721864983712847
[ 64 128   2   4];0.00695801;0.07176217119002484
[ 2 64  4  3];0.0297959;0.016758074257260388
[128   8   1   2];0.165854;0.003010611168629667
[64  1  4  4];0.20881;0.002391273908155284
[  1 128   1   5];0.040153;0.012435481900777146
[  4   1 128   0];0.0555952;0.008981385169257504
[  1 256   2   4];0.00177503;0.28130336093581787
[1 1 1 2];0.062789;0.007952378677187164
[ 8 16  8  5];0.0638011;0.00782622720865165
[8 2 4 1];0.0136039;0.03670432043472128
[64  8  4  1];0.00748086;0.0667465912691729
[16  4  8  0];0.0297129;0.01680488625350958
[2 2 4 0];0.036092;0.01383469757181383
[256  16   4   4];0.00925589;0.0539463957287635
[2 1 8 2];0.039305;0.012703775722221212
[  1 128   4   3];0.0289249;0.0172627011592747
[ 8  1 32  4];0.0313461;0.01592931512251619
[ 1  8 32  4];0.00810289;0.061622693231909206
[ 2  2 64  5];0.037977;0.013148008130234215
[16 16  1  2];0.046602;0.010714602479762775
[8 2 8 2];0.0300651;0.016608024079810303
[  8   4 128   1];0.013453;0.037116026519133635
[16  8  1  5];0.0473859;0.010537351928778492
[4 8 1 3];0.034358;0.01453291532574378
[64  1  8  4];0.185365;0.0026937226809910435
[  8 128   8   1];0.00193787;0.25766532572458667
[ 1  4 16  2];0.0315628;0.015819949585014786
[8 2 4 3];0.027832;0.017940568581557372
[ 4 32  4  1];0.00184107;0.271212884225969
[32 16  8  1];0.00229383;0.21768043175034973
[ 1 32  4  4];0.00218201;0.2288357545391198
[  1   8 128   0];0.055639;0.008974314864787374
[16  2  8  0];0.0286942;0.017401492453593577
[  1 128  64   1];0.00231695;0.21550827802149583
[ 1 32 32  5];0.040297;0.012391044116482735
[ 1 32 32  3];0.040364;0.012370476284855436
[32  2  2  1];0.020256;0.024650567968103516
[ 1 64  1  0];0.0395699;0.012618730518952659
[ 4  2 32  4];0.0191479;0.026077110532324945
[64  2  1  4];0.0804181;0.006209073638421011
[4 8 1 0];0.0345991;0.014431644313346438
[32  8  2  2];0.0455751;0.010956024337015273
[8 2 8 5];0.040664;0.01227921268841985
[  2 128  16   4];0.00191903;0.26019494471785476
[ 1 32  8  1];0.00217795;0.2292623360324639
[16  1  1  0];0.0554781;0.00900034256331606
[ 1  1 32  5];0.070421;0.007090525621077587
[128   1   2   5];0.15603;0.003200166024238318
[  2 256  16   4];0.00220084;0.22687787606636775
[64  4  1  0];0.0536599;0.009305308149323885
[8 1 4 3];0.033114;0.015078876147910395
[8 1 4 5];0.0323658;0.015427454435296046
[  2 256   1   1];0.00289297;0.17259836941340725
[ 1 16  8  3];0.029072;0.017175354456587258
[ 8 32  4  1];0.00169992;0.29373259021713066
[1 1 1 3];0.0616291;0.008102047648950006
[64 32  4  1];0.00215816;0.2313646368952741
[ 1 64 16  3];0.032851;0.015199595286655043
[  4   1 256   4];0.038173;0.013080499430537417
[128   1   1   3];0.158874;0.0031428799222144896
[ 32 128   4   1];0.00174189;0.28665524502804696
[ 1  4 64  3];0.048629;0.010267986279008509
[2 2 4 4];0.0159872;0.031232605131724427
[ 2 16 16  1];0.00237894;0.2098926012265567
[16  4 64  4];0.011868;0.04207296130450832
[ 8  2 16  2];0.032496;0.015365642071698203
[ 2  4 64  4];0.01016;0.04914585676790401
[ 8 16  1  2];0.041137;0.012138024278919338
[32 64  2  1];0.00408816;0.12213854270916616
[32  4  4  3];0.060796;0.008213071661982775
[8 4 8 2];0.0288901;0.01728349520292089
[  1   2 128   3];0.05721;0.008727878076593337
[32  1 32  3];0.065069;0.007673729498868966
[128   2   4   1];0.0309401;0.016138341658944372
[ 4  2 16  3];0.030725;0.016251323181835794
[  2  16 128   1];0.00362802;0.13762931427111888
[  4 256   2   1];0.00207305;0.24086341610762152
[  4 256   4   4];0.00359297;0.13897191035881312
[128   4   1   1];0.0385199;0.012962699922946444
[32  1 16  2];0.0349112;0.014302627946386969
[ 1 32 32  4];0.0023241;0.21484527548810498
