X;time;peak;backend
[2, 4, 4, 1, 1, 16, 16];0.0010742046579252928;0.4648293982696832;jir
[2, 4, 4, 1, 1, 16, 16];0.001084627554519102;0.4603625481221452;mlir
[2, 4, 4, 1, 1, 16, 16];0.0010601728281471878;0.4709816093235904;tvm
[1, 8, 32, 2, 2, 8, 32];0.006554669816978276;0.07617804080207564;jir
[1, 8, 32, 2, 2, 8, 32];0.00473333930131048;0.10549041025300293;mlir
[1, 8, 32, 2, 2, 8, 32];0.007466504233889282;0.06687492421092613;tvm
[1, 128, 2, 4, 1, 16, 64];0.002652688854141161;0.1882323680677454;jir
[1, 128, 2, 4, 1, 16, 64];0.0016004310455173254;0.31199213871816844;mlir
[1, 128, 2, 4, 1, 16, 64];0.002656456606928259;0.1879653909872391;tvm
[1, 2, 64, 1, 8, 2, 4];0.01913402322679758;0.026096022715316584;jir
[1, 2, 64, 1, 8, 2, 4];0.030114034190773964;0.016581036655490083;mlir
[1, 2, 64, 1, 8, 2, 4];0.0456563550978899;0.010936525784665231;tvm
[128, 1, 2, 16, 2, 2, 512];0.01612966717220843;0.030956739493189372;jir
[128, 1, 2, 16, 2, 2, 512];0.022947663674131036;0.021759160838878414;mlir
[128, 1, 2, 16, 2, 2, 512];0.022298496216535568;0.02239262683515088;tvm
[1, 4, 2, 1, 1, 64, 2];0.001161428474006243;0.4299204952669524;jir
[1, 4, 2, 1, 1, 64, 2];0.0014501787372864783;0.3443174913019465;mlir
[1, 4, 2, 1, 1, 64, 2];0.0014591289218515158;0.3422054742964768;tvm
[128, 1, 2, 2, 1, 8, 512];0.007121692644432187;0.07011281301956773;jir
[128, 1, 2, 2, 1, 8, 512];0.0069012821186333895;0.07235204939872561;mlir
[128, 1, 2, 2, 1, 8, 512];0.0072698642034083605;0.0686838007961422;tvm
[32, 1, 4, 1, 16, 1, 64];0.003331713320221752;0.14986940855063452;jir
[32, 1, 4, 1, 16, 1, 64];0.04107812652364373;0.012155420585564078;mlir
[32, 1, 4, 1, 16, 1, 64];0.016296062618494034;0.030640647158242728;tvm
[1, 4, 64, 4, 4, 1, 2];0.02471649250946939;0.02020197261284563;jir
[1, 4, 64, 4, 4, 1, 2];0.10058219730854034;0.004964316928076374;mlir
[1, 4, 64, 4, 4, 1, 2];0.03284281864762306;0.015203381601293904;tvm
[1, 2, 1, 64, 1, 1, 1];0.018119931686669588;0.02755650039946035;jir
[1, 2, 1, 64, 1, 1, 1];0.03935428708791733;0.012687865584921448;mlir
[1, 2, 1, 64, 1, 1, 1];0.0316669512540102;0.015767918444585735;tvm
[2, 1, 16, 2, 1, 4, 2];0.0028954969893675297;0.1724477375025601;jir
[2, 1, 16, 2, 1, 4, 2];0.002890962816309184;0.17271820375724373;mlir
[2, 1, 16, 2, 1, 4, 2];0.002938909485237673;0.16990040260512618;tvm
[8, 4, 4, 2, 2, 1, 1];0.004199178249109536;0.11890943302247035;jir
[8, 4, 4, 2, 2, 1, 1];0.03121387166902423;0.015996794952463967;mlir
[8, 4, 4, 2, 2, 1, 1];0.010521346819587052;0.047457983595060545;tvm
[64, 2, 1, 1, 8, 2, 16];0.00994378631003201;0.05021446451017886;jir
[64, 2, 1, 1, 8, 2, 16];0.010410675313323736;0.047962489438400334;mlir
[64, 2, 1, 1, 8, 2, 16];0.010043202433735132;0.04971739921169783;tvm
[1, 4, 1, 2, 2, 8, 2];0.0013676325179403648;0.36509946803098575;jir
[1, 4, 1, 2, 2, 8, 2];0.003633750369772315;0.13741227490901955;mlir
[1, 4, 1, 2, 2, 8, 2];0.001359785150270909;0.3672064698326976;tvm
[2, 32, 4, 4, 2, 2, 64];0.012546878075227141;0.039796505693936564;jir
[2, 32, 4, 4, 2, 2, 64];0.015959400217980146;0.031287009407744516;mlir
[2, 32, 4, 4, 2, 2, 64];0.013592885341495275;0.03673406287314252;tvm
[1, 8, 2, 4, 8, 2, 8];0.0058788463356904685;0.08493535572286047;jir
