X;Y;X_fit_1;X_fit_2
[1, 2, 64, 0];0.01634160743821448;[0.5587907702689296];[0.5587907702689392, -0.372067597668474]
[2, 2, 256, 3];0.015582744210181333;[2.1203857188552826];[2.120385718855304, -1.2811260467504384]
[4, 32, 1, 0];0.4301927741317776;[0.009641546183045637];[0.009641546183044008, 0.336676774255848]
[1, 4, 32, 0];0.0324784539738521;[0.29681298172774373];[0.29681298172774995, -0.1928041624732711]
[16, 4, 64, 1];0.05116138698329843;[0.3587680002154139];[0.35876800021542327, -0.44902424047794715]
[64, 64, 4, 4];0.12040750864501608;[-0.7596457477931455];[-0.7596457477931517, 0.3619190353558168]
[2, 16, 16, 5];0.19218878962726718;[0.15529418103154613];[0.15529418103153864, 0.04888461005545366]
[1, 2, 8, 3];0.01632793507548011;[0.09942620714490685];[0.09942620714490531, -0.10898446113033707]
[1, 4, 128, 0];0.008771117185292004;[1.084295089940359];[1.084295089940374, -0.6438038251100651]
[32, 4, 4, 2];0.02052384150697334;[-0.34731660283955246];[-0.3473166028395477, -0.2800954322640786]
[8, 32, 64, 1];0.2685555939749548;[0.47294960834205463];[0.4729496083420571, 0.012471750416921905]
[1, 16, 4, 1];0.12876718622852742;[0.07022818534384584];[0.07022818534384513, 0.11231869169342659]
[4, 1, 128, 2];0.009783577475170164;[1.0434129151291915];[1.0434129151292033, -0.7083765180096173]
[32, 16, 2, 5];0.009834805942351458;[-0.360624994915865];[-0.3606249949158691, -0.09711832006150815]
[1, 8, 1, 3];0.06449728999764198;[0.043554379343460736];[0.04355437934345735, 0.010691573885744272]
[1, 16, 16, 4];0.12947309504402554;[0.16866344887042542];[0.16866344887041979, 0.05594373386383441]
[32, 256, 2, 1];0.18392550108209924;[-0.2986752913535874];[-0.2986752913536312, 3.3745073978910876]
[256, 2, 1, 4];0.006120109482054493;[-3.3671576621600376];[-3.3671576621600003, -1.8761756402007685]
[2, 64, 2, 1];0.5812861888177012;[0.052842980962992385];[0.052842980962982115, 0.8089805377804975]
[128, 2, 2, 0];0.01404973457526558;[-1.6476884401561647];[-1.647688440156141, -0.977305705880203]
